波长,光强
456(mW/m2/nm),14.1852743045172000
457(mW/m2/nm),13.8368643040203000
458(mW/m2/nm),13.2837718049858000
459(mW/m2/nm),12.5116921724726000
460(mW/m2/nm),11.6597521637311000
461(mW/m2/nm),10.7771200354919000
462(mW/m2/nm),9.9697393264213700
463(mW/m2/nm),9.2433742260894100
464(mW/m2/nm),8.6130172975775200
465(mW/m2/nm),8.0858720901222700
466(mW/m2/nm),7.6758430259460800
467(mW/m2/nm),7.3681349251930700
468(mW/m2/nm),7.0855660006446800
469(mW/m2/nm),6.8602173684815300
470(mW/m2/nm),6.6161729073509900
471(mW/m2/nm),6.3643528014183700
472(mW/m2/nm),6.0928393195818700
473(mW/m2/nm),5.8027954459252500
474(mW/m2/nm),5.5100818400589600
475(mW/m2/nm),5.2161372198916200
476(mW/m2/nm),4.9469646784844300
477(mW/m2/nm),4.7080347802498000
478(mW/m2/nm),4.4823119479147700
479(mW/m2/nm),4.2929524396489300
480(mW/m2/nm),4.1529519513341400
481(mW/m2/nm),4.0602891273480800
482(mW/m2/nm),4.0209279162922100
483(mW/m2/nm),4.0032086003846100
484(mW/m2/nm),4.0192166749808000
485(mW/m2/nm),4.0610385001488600
486(mW/m2/nm),4.1373339322667700
487(mW/m2/nm),4.2201219488864300
488(mW/m2/nm),4.3232615696877600
489(mW/m2/nm),4.4395883887490800
490(mW/m2/nm),4.6023610456678000
491(mW/m2/nm),4.7539736862478000
492(mW/m2/nm),4.9378760277432400
493(mW/m2/nm),5.1519543378617200
494(mW/m2/nm),5.3770308530642300
495(mW/m2/nm),5.6348626411556900
496(mW/m2/nm),5.8908529234050900
497(mW/m2/nm),6.2010758663713300
498(mW/m2/nm),6.5115557572974800
499(mW/m2/nm),6.8640829821493300
500(mW/m2/nm),7.2351569754504200
501(mW/m2/nm),7.6297873604006200
502(mW/m2/nm),8.0966169337280600
503(mW/m2/nm),8.5848509458363800
504(mW/m2/nm),9.0691233631833900
505(mW/m2/nm),9.5633194378974800
506(mW/m2/nm),10.0573271333789000
507(mW/m2/nm),10.6225534593874000
508(mW/m2/nm),11.1617284810575000
509(mW/m2/nm),11.7115002186643000
510(mW/m2/nm),12.2645948923477000
511(mW/m2/nm),12.7650756320387000
512(mW/m2/nm),13.3204828408773000
513(mW/m2/nm),13.8921907974295000
514(mW/m2/nm),14.3777950946825000
515(mW/m2/nm),14.8765280608693000
516(mW/m2/nm),15.2940171830991000
517(mW/m2/nm),15.7339328128988000
518(mW/m2/nm),16.0881197045686000
519(mW/m2/nm),16.3773847649142000
520(mW/m2/nm),16.6629861508874000
521(mW/m2/nm),16.8198233407592000
522(mW/m2/nm),16.9075394311666000
523(mW/m2/nm),16.9899652885703000
524(mW/m2/nm),16.9542953706186000
525(mW/m2/nm),16.8957805642625000
526(mW/m2/nm),16.8773640282288000
527(mW/m2/nm),16.7474396761770000
528(mW/m2/nm),16.5874742063677000
529(mW/m2/nm),16.4208446797811000
530(mW/m2/nm),16.1657397389560000
531(mW/m2/nm),15.9799923825239000
532(mW/m2/nm),15.7396574092444000
533(mW/m2/nm),15.4961471155216000
534(mW/m2/nm),15.1882630123864000
535(mW/m2/nm),14.9423795593571000
536(mW/m2/nm),14.6824532478647000
537(mW/m2/nm),14.4073270175237000
538(mW/m2/nm),14.1778046301307000
539(mW/m2/nm),13.9416519846046000
540(mW/m2/nm),13.7342320006437000
541(mW/m2/nm),13.5224540604334000
542(mW/m2/nm),13.3251333705177000
543(mW/m2/nm),13.1210174182503000
544(mW/m2/nm),12.9421111596411000
545(mW/m2/nm),12.7799981670772000
546(mW/m2/nm),12.6266229544108000
547(mW/m2/nm),12.4821932950678000
548(mW/m2/nm),12.3517749657684000
549(mW/m2/nm),12.2199107295059000
550(mW/m2/nm),12.0864761937134000
551(mW/m2/nm),11.9845248244675000
552(mW/m2/nm),11.9082514181579000
553(mW/m2/nm),11.8182383697451000
554(mW/m2/nm),11.7452369850813000
555(mW/m2/nm),11.6672242860202000
556(mW/m2/nm),11.6000460947928000
557(mW/m2/nm),11.5331981695316000
558(mW/m2/nm),11.5022639247965000
559(mW/m2/nm),11.4289937723572000
560(mW/m2/nm),11.4168561107643000
561(mW/m2/nm),11.4158236887765000
562(mW/m2/nm),11.4302421805984000
563(mW/m2/nm),11.4273589607069000
564(mW/m2/nm),11.4665990604114000
565(mW/m2/nm),11.4845386828442000
566(mW/m2/nm),11.4960407996086000
567(mW/m2/nm),11.5214228320127000
568(mW/m2/nm),11.5666436496985000
569(mW/m2/nm),11.5898042459502000
570(mW/m2/nm),11.6154706530618000
571(mW/m2/nm),11.6708462125854000
572(mW/m2/nm),11.7218055106327000
573(mW/m2/nm),11.7675564800164000
574(mW/m2/nm),11.8287321794608000
575(mW/m2/nm),11.8856165485057000
576(mW/m2/nm),12.0223022684537000
577(mW/m2/nm),12.0491466806104000
578(mW/m2/nm),12.1253713230888000
579(mW/m2/nm),12.2425234868107000
580(mW/m2/nm),12.3091368260627000
581(mW/m2/nm),12.3782503170934000
582(mW/m2/nm),12.5046416229075000
583(mW/m2/nm),12.5977376708679000
584(mW/m2/nm),12.7223322445611000
585(mW/m2/nm),12.8278673423353000
586(mW/m2/nm),12.8738888610031000
587(mW/m2/nm),12.9762569102574000
588(mW/m2/nm),13.1058586908268000
589(mW/m2/nm),13.2176263588791000
590(mW/m2/nm),13.3117347826341000
591(mW/m2/nm),13.4364409517910000
592(mW/m2/nm),13.5463427675484000
593(mW/m2/nm),13.6922462505665000
594(mW/m2/nm),13.8196072576718000
595(mW/m2/nm),13.9557416639113000
596(mW/m2/nm),14.1088265501196000
597(mW/m2/nm),14.3049762191587000
598(mW/m2/nm),14.4463090689415000
599(mW/m2/nm),14.6149567205183000
600(mW/m2/nm),14.8710724625532000
601(mW/m2/nm),15.0844901182691000
602(mW/m2/nm),15.3006815565815000
603(mW/m2/nm),15.5845159653638000
604(mW/m2/nm),15.8618799356908000
605(mW/m2/nm),16.2048742934763000
606(mW/m2/nm),16.5036195138469000
607(mW/m2/nm),16.9201855876923000
608(mW/m2/nm),17.2628602703595000
609(mW/m2/nm),17.6894608816923000
610(mW/m2/nm),18.1287610846953000
611(mW/m2/nm),18.6447390758936000
612(mW/m2/nm),19.1445137263083000
613(mW/m2/nm),19.7051441813650000
614(mW/m2/nm),20.3012932944239000
615(mW/m2/nm),20.8578022781599000
616(mW/m2/nm),21.4352598786018000
617(mW/m2/nm),21.9604434693433000
618(mW/m2/nm),22.4614734318123000
619(mW/m2/nm),22.8901225859509000
620(mW/m2/nm),23.0521478823813000
621(mW/m2/nm),23.2396644244116000
622(mW/m2/nm),23.0938151901321000
623(mW/m2/nm),22.9777356124640000
624(mW/m2/nm),22.4808546085394000
625(mW/m2/nm),21.9201745912262000
626(mW/m2/nm),21.1266295544325000
627(mW/m2/nm),20.2886151772201000
628(mW/m2/nm),19.3789909388054000
629(mW/m2/nm),18.4551831521659000
630(mW/m2/nm),17.6209513939740000
631(mW/m2/nm),16.7234212372488000
632(mW/m2/nm),15.9501657702916000
633(mW/m2/nm),15.2884473089901000
634(mW/m2/nm),14.6724315615107000
635(mW/m2/nm),14.1859965749222000
636(mW/m2/nm),13.7480624799047000
637(mW/m2/nm),13.3647557349541000
638(mW/m2/nm),13.0140648813602000
639(mW/m2/nm),12.7172963092157000
640(mW/m2/nm),12.4637396457250000
641(mW/m2/nm),12.2005820328195000
642(mW/m2/nm),11.9448026830897000
643(mW/m2/nm),11.7845331165384000
644(mW/m2/nm),11.5593619678365000
645(mW/m2/nm),11.3856705066930000
646(mW/m2/nm),11.2307899844429000
647(mW/m2/nm),11.0731106761155000
648(mW/m2/nm),10.8731542622090000
649(mW/m2/nm),10.6907593014405000
650(mW/m2/nm),10.5662873114981000
651(mW/m2/nm),10.3765491849845000
652(mW/m2/nm),10.2468707036746000
653(mW/m2/nm),10.1322110413467000
654(mW/m2/nm),9.9779667934537300
655(mW/m2/nm),9.7904951425247900
656(mW/m2/nm),9.6736416808601900
657(mW/m2/nm),9.5254382556490700
658(mW/m2/nm),9.3366157230319700
659(mW/m2/nm),9.1892554882682100
660(mW/m2/nm),9.0664628086840600
661(mW/m2/nm),8.9217415948683200
662(mW/m2/nm),8.7890707789776700
663(mW/m2/nm),8.6596716492032400
664(mW/m2/nm),8.5039427294123900
665(mW/m2/nm),8.3482965478233000
666(mW/m2/nm),8.1991821747464400
667(mW/m2/nm),8.0624056476537800
668(mW/m2/nm),7.9250613982275600
669(mW/m2/nm),7.7997593933210800
670(mW/m2/nm),7.6833442370122400
671(mW/m2/nm),7.5533534713801800
672(mW/m2/nm),7.4271525554349100
673(mW/m2/nm),7.2850938431625500
674(mW/m2/nm),7.1706463680101300
675(mW/m2/nm),7.0744769114965100
676(mW/m2/nm),6.9016478027123300
677(mW/m2/nm),6.7650163553170000
678(mW/m2/nm),6.6357798539551200
679(mW/m2/nm),6.5127843825052900
680(mW/m2/nm),6.3863802417656200
681(mW/m2/nm),6.2763858595678700
682(mW/m2/nm),6.1492013195087500
683(mW/m2/nm),6.0169459155880400
684(mW/m2/nm),5.8888192136543500
685(mW/m2/nm),5.7655358043350700
686(mW/m2/nm),5.6564817954154000
687(mW/m2/nm),5.5366241711724400
688(mW/m2/nm),5.4028255173280500
689(mW/m2/nm),5.2934493389659200
690(mW/m2/nm),5.1598201112716400
691(mW/m2/nm),5.0633675397528400
692(mW/m2/nm),4.9463255932743100
693(mW/m2/nm),4.8482108271837600
694(mW/m2/nm),4.7222649163211000
695(mW/m2/nm),4.6303916130713100
696(mW/m2/nm),4.5127558092099500
697(mW/m2/nm),4.4136069375034800
698(mW/m2/nm),4.3015002273807100
699(mW/m2/nm),4.2003156443005500
700(mW/m2/nm),4.1113765305345300
701(mW/m2/nm),4.0047989141503400
702(mW/m2/nm),3.9072951212291300
703(mW/m2/nm),3.8109272627853800
704(mW/m2/nm),3.7374557456867200
705(mW/m2/nm),3.6391377548017700
706(mW/m2/nm),3.5539470284832500
707(mW/m2/nm),3.4629722033435400
708(mW/m2/nm),3.3803520348270500
709(mW/m2/nm),3.2858067778423900
710(mW/m2/nm),3.2002767662949300
711(mW/m2/nm),3.1268561636270400
712(mW/m2/nm),3.0383923955245200
713(mW/m2/nm),2.9653277609433700
714(mW/m2/nm),2.8983518459106400
715(mW/m2/nm),2.8135342034653500
716(mW/m2/nm),2.7487972246007200
717(mW/m2/nm),2.6727650348202300
718(mW/m2/nm),2.6058742657912800
719(mW/m2/nm),2.5336747436046400
720(mW/m2/nm),2.4721094105911600
721(mW/m2/nm),2.4051339284871500
722(mW/m2/nm),2.3417198589653200
723(mW/m2/nm),2.2767796553062800
724(mW/m2/nm),2.2177245134725700
725(mW/m2/nm),2.1699507084316600
726(mW/m2/nm),2.1030228990949700
727(mW/m2/nm),2.0520331772288800
728(mW/m2/nm),2.0103299558116400
729(mW/m2/nm),1.9542238977229900
730(mW/m2/nm),1.8924287719371300
731(mW/m2/nm),1.8405644854850400
732(mW/m2/nm),1.7837991942501900
733(mW/m2/nm),1.7458254558974700
734(mW/m2/nm),1.6924008037351800
735(mW/m2/nm),1.6442511060863100
736(mW/m2/nm),1.6002904770467200
737(mW/m2/nm),1.5690007199926500
738(mW/m2/nm),1.5159509889996700
739(mW/m2/nm),1.4797440828150000
740(mW/m2/nm),1.4402979334906200
741(mW/m2/nm),1.4005217270294900
742(mW/m2/nm),1.3545906080987500
743(mW/m2/nm),1.3220996950846700
744(mW/m2/nm),1.2866157904617600
745(mW/m2/nm),1.2510471727637900
746(mW/m2/nm),1.2133618052092500
747(mW/m2/nm),1.1689433792213800
748(mW/m2/nm),1.1425874541556800
749(mW/m2/nm),1.1162144133034800
750(mW/m2/nm),1.0832777401680700
751(mW/m2/nm),1.0469999950313900
752(mW/m2/nm),1.0200164139385700
753(mW/m2/nm),0.9962891917719720
754(mW/m2/nm),0.9651503407141460
755(mW/m2/nm),0.9415758618398820
756(mW/m2/nm),0.9135239435581570
757(mW/m2/nm),0.8884057818314830
758(mW/m2/nm),0.8603367477632600
759(mW/m2/nm),0.8382208057376310
760(mW/m2/nm),0.8192765095631610
761(mW/m2/nm),0.7961089132064060
762(mW/m2/nm),0.7708042095431170
763(mW/m2/nm),0.7473653581746890
764(mW/m2/nm),0.7278443204038790
765(mW/m2/nm),0.7117490677094020
766(mW/m2/nm),0.6898705820511650
767(mW/m2/nm),0.6712822539634260
768(mW/m2/nm),0.6451295536921240
769(mW/m2/nm),0.6368361295486030
770(mW/m2/nm),0.6112772866601410
771(mW/m2/nm),0.5970307704740260
772(mW/m2/nm),0.5828180529321910
773(mW/m2/nm),0.5613126511471820
774(mW/m2/nm),0.5435894354539550
775(mW/m2/nm),0.5296822044967890
776(mW/m2/nm),0.5133832940792000
777(mW/m2/nm),0.5007142593897750
778(mW/m2/nm),0.4874175686732300
779(mW/m2/nm),0.4745957906914700
780(mW/m2/nm),0.4630969220525080
